ALT P T
4.086724e+01 2.649512e-03 2.568424e+02
4.194902e+01 2.300449e-03 2.588519e+02
4.303964e+01 1.997374e-03 2.606540e+02
4.413822e+01 1.734228e-03 2.622829e+02
4.524405e+01 1.505751e-03 2.637075e+02
4.635626e+01 1.307374e-03 2.649437e+02
4.747409e+01 1.135133e-03 2.660103e+02
4.859680e+01 9.855837e-04 2.669225e+02
4.972375e+01 8.557371e-04 2.674996e+02
5.085355e+01 7.429971e-04 2.678307e+02
5.198513e+01 6.451103e-04 2.676665e+02
5.311643e+01 5.601196e-04 2.673969e+02
5.424699e+01 4.863261e-04 2.661472e+02
5.537265e+01 4.222546e-04 2.647760e+02
5.649292e+01 3.666242e-04 2.627007e+02
5.760479e+01 3.183230e-04 2.602415e+02
5.870664e+01 2.763852e-04 2.573935e+02
5.979681e+01 2.399726e-04 2.541104e+02
6.087344e+01 2.083571e-04 2.509273e+02
6.193694e+01 1.809069e-04 2.472746e+02
6.298532e+01 1.570732e-04 2.438629e+02
6.401957e+01 1.363794e-04 2.400156e+02
6.503784e+01 1.184120e-04 2.363246e+02
6.604077e+01 1.028117e-04 2.325941e+02
6.702818e+01 8.926665e-05 2.289278e+02
6.800034e+01 7.750613e-05 2.254976e+02
6.895823e+01 6.729501e-05 2.222499e+02
6.990261e+01 5.842916e-05 2.193798e+02
7.083508e+01 5.073136e-05 2.168530e+02
7.175709e+01 4.404770e-05 2.147449e+02
7.267041e+01 3.824460e-05 2.130950e+02
7.357699e+01 3.320603e-05 2.117433e+02
7.447808e+01 2.883127e-05 2.106358e+02
7.537473e+01 2.503286e-05 2.097063e+02
7.626770e+01 2.173488e-05 2.089084e+02
7.715753e+01 1.887140e-05 2.081929e+02
7.804459e+01 1.638517e-05 2.075887e+02
7.892935e+01 1.422649e-05 2.071219e+02
7.981238e+01 1.235221e-05 2.066369e+02
8.069363e+01 1.072485e-05 2.061319e+02
8.157301e+01 9.311897e-06 2.053584e+02
8.244937e+01 8.085092e-06 2.045617e+02
8.332263e+01 7.019914e-06 2.032942e+02
8.419078e+01 6.095068e-06 2.020082e+02
8.505374e+01 5.292068e-06 2.001326e+02
8.590901e+01 4.594859e-06 1.982893e+02
8.675674e+01 3.989505e-06 1.963657e+02
8.759662e+01 3.463904e-06 1.945711e+02
8.842929e+01 3.007548e-06 1.929412e+02
8.925557e+01 2.611316e-06 1.913853e+02
9.007599e+01 2.267286e-06 1.900287e+02
9.089165e+01 1.968580e-06 1.890916e+02
9.170470e+01 1.709227e-06 1.883185e+02
9.251628e+01 1.484044e-06 1.877411e+02
9.332774e+01 1.288527e-06 1.874018e+02
9.414072e+01 1.118769e-06 1.872375e+02
9.495671e+01 9.713753e-07 1.872456e+02
9.577729e+01 8.434005e-07 1.872994e+02
9.660359e+01 7.322859e-07 1.872410e+02
9.743613e+01 6.358102e-07 1.872139e+02
9.827616e+01 5.520448e-07 1.872717e+02
9.912519e+01 4.793151e-07 1.873841e+02
9.998469e+01 4.161673e-07 1.875518e+02
1.008561e+02 3.613389e-07 1.878916e+02
1.017417e+02 3.137339e-07 1.882703e+02
1.026428e+02 2.724008e-07 1.888994e+02
1.035622e+02 2.365131e-07 1.895947e+02
1.045017e+02 2.053534e-07 1.909469e+02
1.054662e+02 1.782989e-07 1.926239e+02
1.064593e+02 1.548088e-07 1.948611e+02
1.074861e+02 1.344133e-07 1.980535e+02
1.085539e+02 1.167049e-07 2.016506e+02
1.096681e+02 1.013295e-07 2.068257e+02
1.108407e+02 8.797976e-08 2.120204e+02
1.120760e+02 7.638878e-08 2.207872e+02
1.134000e+02 6.632487e-08 2.307257e+02
1.148262e+02 5.758683e-08 2.446609e+02
1.163872e+02 5.000000e-08 2.610782e+02
